time room,temperature room,RH room,DP room
2021-12-15 03:20:00,2.64633,73.6852,-1.58268
2021-12-15 03:30:00,2.6356,73.7081,-1.58881
2021-12-15 03:40:00,2.62488,73.7081,-1.59917
2021-12-15 03:50:00,2.61415,73.7615,-1.59967
2021-12-15 04:00:00,2.61415,73.7615,-1.59967
2021-12-15 04:10:00,2.60343,73.7844,-1.60581
2021-12-15 04:20:00,2.5927,73.8149,-1.61055
2021-12-15 04:30:00,2.58198,73.8683,-1.61107
2021-12-15 04:40:00,2.58198,73.8683,-1.61107
2021-12-15 04:50:00,2.57125,73.8683,-1.62143
2021-12-15 05:00:00,2.57125,73.8912,-1.61721
2021-12-15 05:10:00,2.56052,73.9141,-1.62336
2021-12-15 05:20:00,2.5498,73.9446,-1.62811
2021-12-15 05:30:00,2.5498,73.9675,-1.6239
2021-12-15 05:40:00,2.53907,73.9904,-1.63005
2021-12-15 05:50:00,2.52835,74.0209,-1.63481
2021-12-15 06:00:00,2.52835,73.9828,-1.64182
2021-12-15 06:10:00,2.52835,74.0056,-1.63761
2021-12-15 06:20:00,2.51762,74.0591,-1.63816
2021-12-15 06:30:00,2.51762,74.0591,-1.63816
2021-12-15 06:40:00,2.5069,74.0896,-1.64292
2021-12-15 06:50:00,2.49617,74.0896,-1.65329
2021-12-15 07:00:00,2.49617,74.0896,-1.65329
2021-12-15 07:10:00,2.49617,74.0896,-1.65329
2021-12-15 07:20:00,2.48545,74.1659,-1.64965
2021-12-15 07:30:00,2.48545,74.1125,-1.65945
2021-12-15 07:40:00,2.47472,74.1888,-1.65582
2021-12-15 07:50:00,2.464,74.1888,-1.66619
2021-12-15 08:00:00,2.464,74.2116,-1.662
2021-12-15 08:10:00,2.45327,74.2422,-1.66677
2021-12-15 08:20:00,2.45327,74.2422,-1.66677
2021-12-15 08:30:00,2.44255,74.265,-1.67295
2021-12-15 08:40:00,2.44255,74.265,-1.67295
2021-12-15 08:50:00,2.44255,74.265,-1.67295
2021-12-15 09:00:00,2.44255,74.2956,-1.66736
2021-12-15 09:10:00,2.43182,74.3185,-1.67354
2021-12-15 09:20:00,2.43182,74.3185,-1.67354
2021-12-15 09:30:00,2.43182,74.3185,-1.67354
2021-12-15 09:40:00,2.4211,74.3185,-1.68391
2021-12-15 09:50:00,2.41037,74.3185,-1.69428
2021-12-15 10:00:00,2.41037,74.3413,-1.69009
2021-12-15 10:10:00,2.41037,74.3413,-1.69009
2021-12-15 10:20:00,2.39965,74.3719,-1.69488
2021-12-15 10:30:00,2.39965,74.3719,-1.69488
2021-12-15 10:40:00,2.39965,74.4482,-1.68094
2021-12-15 10:50:00,2.39965,74.4176,-1.68651
2021-12-15 11:00:00,2.41037,74.5473,-1.65246
2021-12-15 11:10:00,2.41037,74.3947,-1.68033
2021-12-15 11:20:00,2.41037,74.471,-1.66638
2021-12-15 11:30:00,2.38892,74.471,-1.68713
2021-12-15 11:40:00,2.38892,74.5244,-1.67738
2021-12-15 11:50:00,2.38892,74.5244,-1.67738
2021-12-15 12:00:00,2.38892,74.5702,-1.66903
2021-12-15 12:10:00,2.3782,74.5702,-1.6794
2021-12-15 12:20:00,2.3782,74.5702,-1.6794
2021-12-15 12:30:00,2.3782,74.6236,-1.66966
2021-12-15 12:40:00,2.36747,74.6007,-1.68421
2021-12-15 12:50:00,2.36747,74.6007,-1.68421
2021-12-15 13:00:00,2.36747,74.6007,-1.68421
2021-12-15 13:10:00,2.36747,74.6007,-1.68421
2021-12-15 13:20:00,2.36747,74.6236,-1.68004
2021-12-15 13:30:00,2.36747,74.6007,-1.68421
2021-12-15 13:40:00,2.36747,74.6236,-1.68004
2021-12-15 13:50:00,2.36747,74.6236,-1.68004
2021-12-15 14:00:00,2.36747,74.6236,-1.68004
2021-12-15 14:10:00,2.36747,74.5855,-1.68699
2021-12-15 14:20:00,2.35675,74.616,-1.6918
2021-12-15 14:30:00,2.35675,74.616,-1.6918
2021-12-15 14:40:00,2.36747,74.6389,-1.67726
2021-12-15 14:50:00,2.35675,74.6389,-1.68763
2021-12-15 15:00:00,2.35675,74.6694,-1.68207
2021-12-15 15:10:00,2.35675,74.616,-1.6918
2021-12-15 15:20:00,2.35675,74.616,-1.6918
2021-12-15 15:30:00,2.35675,74.6999,-1.67652
2021-12-15 15:40:00,2.35675,74.6694,-1.68207
2021-12-15 15:50:00,2.35675,74.6389,-1.68763
2021-12-15 16:00:00,2.35675,74.6923,-1.67791
2021-12-15 16:10:00,2.35675,74.6923,-1.67791
2021-12-15 16:20:00,2.35675,74.7152,-1.67374
2021-12-15 16:30:00,2.35675,74.6923,-1.67791
2021-12-15 16:40:00,2.35675,74.6923,-1.67791
2021-12-15 16:50:00,2.35675,74.7152,-1.67374
2021-12-15 17:00:00,2.35675,74.7152,-1.67374
2021-12-15 17:10:00,2.35675,74.7152,-1.67374
2021-12-15 17:20:00,2.34602,74.7686,-1.6744
2021-12-15 17:30:00,2.34602,74.7152,-1.68411
2021-12-15 17:40:00,2.35675,74.7686,-1.66402
2021-12-15 17:50:00,2.34602,74.7915,-1.67023
2021-12-15 18:00:00,2.34602,74.7915,-1.67023
2021-12-15 18:10:00,2.34602,74.7915,-1.67023
2021-12-15 18:20:00,2.34602,74.822,-1.66469
2021-12-15 18:30:00,2.34602,74.822,-1.66469
2021-12-15 18:40:00,2.34602,74.8449,-1.66053
2021-12-15 18:50:00,2.34602,74.822,-1.66469
2021-12-15 19:00:00,2.34602,74.822,-1.66469
2021-12-15 19:10:00,2.3353,74.8449,-1.6709
2021-12-15 19:20:00,2.3353,74.8678,-1.66675
2021-12-15 19:30:00,2.3353,74.8449,-1.6709
2021-12-15 19:40:00,2.3353,74.8678,-1.66675
2021-12-15 19:50:00,2.3353,74.8983,-1.6612
2021-12-15 20:00:00,2.34602,74.9212,-1.64667
2021-12-15 20:10:00,2.3353,74.8983,-1.6612
2021-12-15 20:20:00,2.3353,74.8983,-1.6612
2021-12-15 20:30:00,2.3353,74.8983,-1.6612
2021-12-15 20:40:00,2.3353,74.9212,-1.65705
2021-12-15 20:50:00,2.3353,74.9212,-1.65705
2021-12-15 21:00:00,2.3353,74.9441,-1.65289
2021-12-15 21:10:00,2.3353,74.9441,-1.65289
2021-12-15 21:20:00,2.32457,74.9441,-1.66327
2021-12-15 21:30:00,2.32457,74.9441,-1.66327
2021-12-15 21:40:00,2.32457,74.9441,-1.66327
2021-12-15 21:50:00,2.32457,74.9746,-1.65773
2021-12-15 22:00:00,2.32457,74.9975,-1.65358
2021-12-15 22:10:00,2.32457,74.9975,-1.65358
2021-12-15 22:20:00,2.32457,74.9975,-1.65358
2021-12-15 22:30:00,2.32457,74.9975,-1.65358
2021-12-15 22:40:00,2.32457,74.9746,-1.65773
2021-12-15 22:50:00,2.32457,74.9975,-1.65358
2021-12-15 23:00:00,2.32457,74.9975,-1.65358
2021-12-15 23:10:00,2.31385,74.9975,-1.66396
2021-12-15 23:20:00,2.31385,74.9975,-1.66396
2021-12-15 23:30:00,2.31385,74.9975,-1.66396
2021-12-15 23:40:00,2.31385,75.028,-1.65843
2021-12-15 23:50:00,2.31385,74.9975,-1.66396
2021-12-16 00:00:00,2.31385,74.9975,-1.66396
2021-12-16 00:10:00,2.31385,74.9975,-1.66396
2021-12-16 00:20:00,2.31385,74.9975,-1.66396
2021-12-16 00:30:00,2.30312,75.028,-1.66881
2021-12-16 00:40:00,2.30312,75.028,-1.66881
2021-12-16 00:50:00,2.30312,75.028,-1.66881
2021-12-16 01:00:00,2.30312,75.028,-1.66881
2021-12-16 01:10:00,2.30312,75.0509,-1.66466
2021-12-16 01:20:00,2.30312,75.028,-1.66881
2021-12-16 01:30:00,2.30312,75.028,-1.66881
2021-12-16 01:40:00,2.30312,75.0509,-1.66466
2021-12-16 01:50:00,2.2924,75.0509,-1.67504
2021-12-16 02:00:00,2.2924,75.0509,-1.67504
2021-12-16 02:10:00,2.2924,75.0509,-1.67504
2021-12-16 02:20:00,2.2924,75.0509,-1.67504
2021-12-16 02:30:00,2.2924,75.0509,-1.67504
2021-12-16 02:40:00,2.2924,75.0738,-1.67089
2021-12-16 02:50:00,2.2924,75.0738,-1.67089
2021-12-16 03:00:00,2.2924,75.1043,-1.66537
2021-12-16 03:10:00,2.28167,75.1043,-1.67575
2021-12-16 03:20:00,2.28167,75.1272,-1.6716
2021-12-16 03:30:00,2.27095,75.1272,-1.68199
2021-12-16 03:40:00,2.28167,75.1272,-1.6716
2021-12-16 03:50:00,2.28167,75.1272,-1.6716
2021-12-16 04:00:00,2.28167,75.1043,-1.67575
2021-12-16 04:10:00,2.28167,75.1272,-1.6716
2021-12-16 04:20:00,2.27095,75.1272,-1.68199
2021-12-16 04:30:00,2.27095,75.1272,-1.68199
2021-12-16 04:40:00,2.27095,75.1272,-1.68199
2021-12-16 04:50:00,2.27095,75.1501,-1.67784
2021-12-16 05:00:00,2.27095,75.1501,-1.67784
2021-12-16 05:10:00,2.27095,75.1501,-1.67784
2021-12-16 05:20:00,2.27095,75.1501,-1.67784
2021-12-16 05:30:00,2.26022,75.1501,-1.68823
2021-12-16 05:40:00,2.26022,75.1806,-1.6827
